work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,Senior,Full-time,Applied Scientist,216000,USD,216000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,176000,USD,176000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,95000,USD,95000,United States,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,75000,GBP,93750,United Kingdom,In-person,United Kingdom,M,Data Analysis
2024,Senior,Full-time,Data Engineer,146000,USD,146000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,209450,USD,209450,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,188500,USD,188500,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,140000,USD,140000,Canada,In-person,Canada,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,100000,GBP,123040,United Kingdom,In-person,United Kingdom,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,120000,USD,120000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,180000,USD,180000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Applied Scientist,136000,USD,136000,United States,In-person,United States,L,Data Science and Research
2024,Senior,Full-time,Data Scientist,165000,USD,165000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,190000,USD,190000,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,Research Scientist,258100,USD,258100,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Engineer,142600,USD,142600,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,170000,USD,170000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,73200,EUR,79032,Lithuania,In-person,Lithuania,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,165000,USD,165000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,AI Developer,108000,USD,108000,Ukraine,In-person,Ukraine,M,Machine Learning and AI
2022,Senior,Full-time,Data Analyst,169000,USD,169000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,92000,USD,92000,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Engineer,167500,USD,167500,United States,In-person,United States,M,Data Engineering
2022,Mid-level,Full-time,Data Scientist,55000,GBP,67723,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,210000,USD,210000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,153300,USD,153300,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,104650,USD,104650,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,306400,USD,306400,Canada,In-person,Canada,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,204500,USD,204500,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Scientist,128945,USD,128945,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,207000,USD,207000,United States,Remote,United States,M,Data Science and Research
2022,Senior,Full-time,Machine Learning Engineer,180000,USD,180000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Applied Scientist,205000,USD,205000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Science,71200,USD,71200,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,134600,USD,134600,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Business Intelligence Engineer,78800,USD,78800,United States,Remote,United States,M,BI and Visualization
2023,Entry-level,Full-time,Data Analyst,47840,USD,47840,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Analytics Engineer,140000,USD,140000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Product Manager,199100,USD,199100,United States,In-person,United States,M,Leadership and Management
2023,Mid-level,Full-time,Data Specialist,90000,USD,90000,United States,Remote,United States,M,Data Management and Strategy
2024,Senior,Full-time,Data Scientist,248600,USD,248600,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,215000,USD,215000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,192000,USD,192000,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Analyst,80000,USD,80000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Research Scientist,440000,USD,440000,United States,In-person,United States,M,Data Science and Research
2023,Executive,Full-time,Head of Data,329500,USD,329500,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Analyst,195600,USD,195600,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Research Scientist,157000,USD,157000,United States,In-person,United States,M,Data Science and Research
2023,Executive,Full-time,Data Scientist,100000,USD,100000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Business Intelligence Manager,112000,USD,112000,United States,Remote,United States,M,BI and Visualization
2022,Mid-level,Full-time,Machine Learning Scientist,153000,USD,153000,United States,Hybrid,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,100000,USD,100000,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,54000,USD,54000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,172000,USD,172000,United Kingdom,Remote,United Kingdom,M,Data Analysis
2023,Mid-level,Full-time,Data Engineer,58400,USD,58400,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,162000,USD,162000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Machine Learning Scientist,173000,USD,173000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,136000,USD,136000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,143000,USD,143000,Canada,Remote,Canada,M,Machine Learning and AI
2024,Senior,Full-time,Research Scientist,96643,USD,96643,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,95000,USD,95000,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Data Scientist,191475,USD,191475,United States,Remote,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Management Analyst,145000,USD,145000,United States,In-person,United States,M,Data Management and Strategy
2023,Senior,Full-time,Data Architect,138000,USD,138000,United Kingdom,Remote,United Kingdom,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Analytics Engineer,134160,USD,134160,United States,In-person,United States,M,Leadership and Management
2023,Mid-level,Full-time,Machine Learning Engineer,133800,USD,133800,United States,In-person,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Architect,140000,USD,140000,United States,Remote,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Engineer,171250,USD,171250,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,172200,USD,172200,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Scientist,75000,USD,75000,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Data Scientist,210000,USD,210000,United States,Remote,United States,M,Data Science and Research
2022,Senior,Full-time,Data Architect,195400,USD,195400,United States,Remote,United States,L,Data Architecture and Modeling
2023,Senior,Full-time,Data Engineer,163800,USD,163800,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,210550,USD,210550,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,140000,USD,140000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,218185,USD,218185,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,135000,USD,135000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,70000,USD,70000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,194500,USD,194500,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Research Engineer,150000,USD,150000,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2023,Senior,Full-time,Research Engineer,370000,USD,370000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,323300,USD,323300,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,72000,USD,72000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,112000,USD,112000,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Data Analyst,112900,USD,112900,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,160000,USD,160000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,73100,USD,73100,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,160000,USD,160000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Scientist,218000,USD,218000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,93300,USD,93300,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,88000,USD,88000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,65750,USD,65750,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Machine Learning Scientist,215000,CAD,165384,Canada,In-person,Canada,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,150000,USD,150000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Architect,164000,USD,164000,United States,In-person,United States,M,Data Architecture and Modeling
2023,Mid-level,Full-time,Data Scientist,45000,EUR,48585,Spain,In-person,Spain,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,163800,USD,163800,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Science Consultant,160000,USD,160000,United States,Remote,United States,M,Data Science and Research
2023,Entry-level,Full-time,Data Analyst,85256,USD,85256,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,108308,USD,108308,United Kingdom,Remote,United Kingdom,M,Data Engineering
2023,Senior,Full-time,Analytics Engineer,147500,USD,147500,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Analyst,65000,USD,65000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,60000,EUR,66666,Spain,In-person,Spain,M,Data Science and Research
2022,Senior,Full-time,Data Analyst,110000,USD,110000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Engineer,162240,USD,162240,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Analyst,95000,USD,95000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Architect,195000,USD,195000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,90000,GBP,112500,United Kingdom,In-person,United Kingdom,M,Data Architecture and Modeling
2023,Mid-level,Full-time,Data Analyst,130000,USD,130000,Canada,Remote,Canada,M,Data Analysis
2023,Senior,Full-time,Data Engineer,237000,USD,237000,United States,Remote,United States,M,Data Engineering
2022,Senior,Full-time,Data Engineer,135000,USD,135000,United States,Remote,United States,M,Data Engineering
2024,Entry-level,Full-time,Research Analyst,84068,USD,84068,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,163800,USD,163800,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Manager,128000,USD,128000,United States,In-person,United States,M,Leadership and Management
2023,Mid-level,Full-time,Data Engineer,180000,USD,180000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,122000,USD,122000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,123000,USD,123000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Specialist,72000,USD,72000,United States,In-person,United States,M,Data Management and Strategy
2023,Entry-level,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,180000,USD,180000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,122700,USD,122700,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Analyst,100000,USD,100000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Research Engineer,250000,USD,250000,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Machine Learning Engineer,164996,USD,164996,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Decision Scientist,142200,USD,142200,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,93300,USD,93300,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,195000,USD,195000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Analyst,120000,USD,120000,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Product Manager,137500,USD,137500,United Kingdom,In-person,United Kingdom,M,Leadership and Management
2023,Mid-level,Full-time,Research Engineer,230000,USD,230000,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,130000,USD,130000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,94000,USD,94000,United States,In-person,United States,M,Data Analysis
2022,Senior,Full-time,Data Scientist,136000,USD,136000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,165000,USD,165000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Research Engineer,80000,USD,80000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,253000,USD,253000,United States,Remote,United States,M,Data Science and Research
2022,Mid-level,Full-time,Data Engineer,100000,USD,100000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Operations Engineer,192400,USD,192400,United States,In-person,United States,M,Data Quality and Operations
2023,Senior,Full-time,Data Engineer,121000,USD,121000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Analytics Engineer,119200,USD,119200,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Machine Learning Scientist,240000,USD,240000,United States,Remote,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Scientist,175100,USD,175100,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,130100,USD,130100,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,179000,USD,179000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,178560,USD,178560,United States,In-person,United States,M,Data Science and Research
2023,Senior,Contract,Finance Data Analyst,300000,EUR,323905,France,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,162000,USD,162000,United States,Remote,United States,M,Data Engineering
2022,Senior,Full-time,Data Engineer,130000,USD,130000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Science Practitioner,145100,USD,145100,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Lead,155000,USD,155000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Scientist,185400,USD,185400,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,142200,USD,142200,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Engineer,60000,USD,60000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,ML Engineer,226000,USD,226000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,65000,USD,65000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Business Intelligence Developer,95413,USD,95413,United States,Remote,United States,M,BI and Visualization
2023,Senior,Full-time,Data Engineer,269100,USD,269100,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,129000,USD,129000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,143100,USD,143100,Canada,In-person,Canada,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,125000,USD,125000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,140000,USD,140000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,152000,USD,152000,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Scientist,160000,USD,160000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,275300,USD,275300,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,175000,USD,175000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,160000,USD,160000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Analytics Engineer,160000,USD,160000,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Engineer,84000,USD,84000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Analyst,80000,USD,80000,Ireland,In-person,Ireland,M,Data Analysis
2023,Senior,Full-time,AI Engineer,106200,USD,106200,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,188800,USD,188800,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Decision Scientist,204500,USD,204500,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,143000,USD,143000,United States,Remote,United States,M,Data Engineering
2022,Senior,Full-time,Data Scientist,119300,USD,119300,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Data Engineer,157250,USD,157250,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,104000,USD,104000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,73100,USD,73100,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Science,150000,USD,150000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,139700,USD,139700,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Analyst,50000,GBP,62500,United Kingdom,In-person,United Kingdom,M,Data Analysis
2023,Senior,Full-time,Machine Learning Scientist,108308,USD,108308,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,89600,USD,89600,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Manager,115500,USD,115500,United States,In-person,United States,M,Leadership and Management
2023,Mid-level,Full-time,Data Scientist,75000,EUR,80976,Ireland,In-person,Ireland,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,146100,USD,146100,United States,Remote,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Analyst,160000,USD,160000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Architect,180000,USD,180000,United States,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Engineer,123000,USD,123000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Analytics Engineer,209000,USD,209000,United States,In-person,United States,M,Leadership and Management
2022,Senior,Full-time,Data Operations Engineer,105000,USD,105000,United States,In-person,United States,M,Data Quality and Operations
2023,Senior,Full-time,Data Engineer,171250,USD,171250,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Machine Learning Engineer,120000,AUD,80000,Australia,Hybrid,Australia,L,Machine Learning and AI
2023,Senior,Full-time,Data Analyst,126500,USD,126500,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,160000,USD,160000,Canada,Remote,Canada,M,Data Engineering
2023,Senior,Full-time,Data Engineer,135000,USD,135000,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Scientist,84000,USD,84000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,AI Engineer,93300,USD,93300,United States,In-person,United States,M,Machine Learning and AI
2022,Senior,Full-time,Data Engineer,168400,USD,168400,United States,In-person,United States,M,Data Engineering
2023,Executive,Full-time,Data Science Director,190000,USD,190000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,152000,USD,152000,United States,In-person,United States,M,Data Science and Research
2022,Mid-level,Full-time,Data Scientist,90000,USD,90000,United States,Remote,United States,M,Data Science and Research
2024,Entry-level,Full-time,BI Analyst,80000,USD,80000,United States,In-person,United States,M,BI and Visualization
2022,Mid-level,Full-time,Data Engineer,60000,EUR,63040,Spain,Remote,Spain,M,Data Engineering
2023,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,210000,USD,210000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,170000,USD,170000,United States,In-person,United States,M,Data Engineering
2022,Mid-level,Full-time,Data Engineer,175000,USD,175000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Infrastructure Engineer,200000,USD,200000,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Data Scientist,156400,USD,156400,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,229369,USD,229369,United States,In-person,United States,M,Machine Learning and AI
2023,Entry-level,Full-time,Business Intelligence Analyst,65000,USD,65000,United States,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Data Engineer,116500,USD,116500,United States,Remote,United States,M,Data Engineering
2022,Senior,Full-time,Data Scientist,80000,USD,80000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,51962,USD,51962,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,BI Analyst,135000,USD,135000,United States,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Data Engineer,186000,USD,186000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Analyst,86146,EUR,95717,Netherlands,Remote,Netherlands,M,Data Analysis
2023,Senior,Full-time,Analytics Engineer,125000,USD,125000,United States,Remote,United States,M,Leadership and Management
2024,Entry-level,Full-time,Data Analyst,115000,USD,115000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,36000,EUR,38868,Spain,In-person,Spain,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,209300,USD,209300,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,152000,USD,152000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,280600,USD,280600,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Analytics Engineer,75000,USD,75000,United States,In-person,United States,M,Leadership and Management
2022,Senior,Full-time,Data Engineer,120000,USD,120000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,140000,USD,140000,United States,In-person,United States,M,Data Science and Research
