job_title,company,job_location,job_level,job_type,job_skills
"Data Analyst, Business Services",Community College of Baltimore County,"Catonsville, MD",Mid senior,Onsite,"Data Analytics, Data Science, Business Analytics, Advanced Analytics, SQL, Microsoft Office Excel, Power BI, Banner, Data Visualization, Data Management, Report Preparation, Data Analysis, Dashboard Creation, Financial Analysis, Datadriven decision making, Stakeholder Management, Trend Analysis, Data Integration, Market Research, Business Intelligence, Operational Improvement, Communication, Collaboration"
"Manager, Data Analyst",KPMG US,"McLean, VA",Mid senior,Onsite,"Data Analysis, Data Mining, Data Visualization, Data Warehousing, Data Quality Management, Data Integration, Data Governance, Data Modeling, Data Transformation, Data Interpretation, Data Cleaning, Data Validation, Data Profiling, Data Pipelines, Data Analytics, Business Intelligence, Reporting, Dashboards, DataDriven Decision Making, Statistical Analysis, Machine Learning, Artificial Intelligence, Python, R, SQL, Alteryx, Tableau, Power BI, QlikView, Excel, Statistics, Probability, Calculus, Linear Algebra, Optimization, Algorithms, Data Structures, Problem Solving, Critical Thinking, Attention to Detail, Communication, Presentation, Teamwork, Business Acumen"
Lead Data Engineer Lead (Bigdata Production support),Diverse Lynx,"Baskin, LA",Mid senior,Onsite,"Data Engineering, Production Support, Big Data Management, Reporting, Debugging, Data Loading, Data Transformation, ETL, Data Extraction, Data Staging, EERA System, PostGres SQL, Kafka Ingestion, Hive, Spark, Scala, Data Analytics, Continuous Data Processing, Data Visualization, Email Communication, Oncall Support, Offshore Collaboration, Agile, Architecture, Design, Coding, Production Operations, Distributed Databases, Java (Optional)"
Nursery Nurse - Bromley,Link Education Ltd - Education & Early Years Recruitment,"Bromley, England, United Kingdom",Mid senior,Onsite,"Nursery Nurse, Early Years, Childcare, Level 3 Qualification, DBS check, Safeguarding, Childminder, Babysitter, Nursery Assistant, Nursery Practitioner, Nursery Officer, Nursery Room Leader, Nursery Educator, Early Years Assistant, Early Years Foundation Stage, EYFS, NNEB, NVQ"
Technical Program Manager - Data Privacy,Coinbase,"San Francisco, CA",Mid senior,Onsite,"Technical Program Manager, Data Privacy, Program Management, Data Governance, Data Protection, Data Privacy Principles, GDPR, CCPA, SQL, Kafka, Snowflake, gRPC, YAML, IAPP Privacy Certifications, CISSP, Google Apps, JIRA, Looker"
Data Analyst (Entry/Junior Level),SynergisticIT,"Bellevue, WA",Mid senior,Onsite,"Data Science, Python, Linear Algebra, Communication, Statistics, Mathematics, Deep Learning, Data Visualization, NLP, Scala, Django, Algorithm Development, Software Analysis, Big Data Analysis, Webbased UI Integration, Commercial Indexing Products, Access Control Mechanisms, Bachelor's or Master's Degree in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics Background"
Compliance&Data Specialist,JEVS Human Services,"Philadelphia, PA",Mid senior,Onsite,"MS Office, Data Entry, Quality Assurance, Compliance, Report Generation, Documentation Compilation, Data Reconciliation, Troubleshooting, Problem Solving, Bachelor's Degree, Hybrid Work Environment, Remote Work, 401(k) with Company Match, Tuition Assistance, Health Dental and Vision Coverage, Paid Vacation and Sick Time, Paid Holidays, Employee Referral Bonus, Mileage and Travel Expense Reimbursement"
Data Center Engineer - Memphis,DeRisk Technologies,"Memphis, TN",Associate,Onsite,"Networking, Hardware Architecture, Active Directory, Troubleshooting, Installation, Rack and Stack, IMAC, Breakfix, Troubleshooting, TCP/IP, Backup and Recovery, English, Customer Service, Communication, Analytical, Record Keeping, Unsupervised Work, Time Management, Quality Assurance, Productivity, Engineering, Technology, Science, 57 Years Experience"
"Consultant - UML Documentation, Data and Process Modeling",Pyrovio,"Ann Arbor, MI",Mid senior,Onsite,"Process development, Process improvement, Process mapping, UML modeling, Requirements gathering, System implementation, Process analytics, Project management, Stakeholder engagement, Data analytics, KPI development, Business process engineering, Lean/Toyota Production System, ITIL, SDLC, Visual Controls, Process diagramming software, Structural modeling, Behavioral modeling, Architectural modeling, OPPM, Oracle Primavera Unifier, Oracle Primavera P6, Ecosys, Sage Financial Management Software, COUPA"
Project Manager-Data Governance Project,Adame Services LLC,"Richmond, VA",Mid senior,Onsite,"Communication, Negotiation, Scheduling, Time management, Risk management, Critical thinking, Problemsolving, Team building, Motivation, Vendor management, Contract negotiation, Agile, Waterfall, Business rules engines, ETL tools, Analytics, Data governance, Health IT, Data exchange solutions, Data warehouse, Technology procurement, PMP certification, VITA PMDP qualification, Cloudbased data governance, Data integration, Data modeling, Metadata management"
Data/reporting analyst,"Global Channel Management, Inc.","Wake Forest, NC",Mid senior,Onsite,"Data Analysis, Reporting, SAS EG, Excel, R, Python, Tableau, Business Requirements Gathering, Analytical Skills, Communication Skills, Critical Thinking Skills, Reporting and Analysis, Outreach and Lead Programs, Product and Line of Business Ownership"
Lead Machine Learning Engineer,Jobs for Humanity,Buffalo-Niagara Falls Area,Mid senior,Onsite,"Machine Learning, Distributed Computing, Python, Scala, Java, ScikitLearn, PyTorch, Dask, Spark, TensorFlow, AWS, Azure, Google Cloud Platform, Data Pipelines, Data Gathering, Data Preparation, Responsible AI, Explainable AI, Agile, Continuous Integration, Continuous Deployment, Software Development, Big Data, Cloud Computing, Automation, Leadership, Mentoring, Public Speaking, Writing, Research, Open Source, Patents"
Data Scientist (Senior) NGA - Washington,Masego Inc.,"Springfield, VA",Mid senior,Onsite,"Data Science, Data Analytics, Data Visualization, Apache Hadoop, HUE, Hive, Pig, Spark, Elasticsearch, Kibana, Tableau, Java, Python, R, SQL, JEMA, GEOINT, Geospatial Intelligence, Remote Sensing, GEOINT Databases, GIMS, BVI, CRATE, ABI, MultiINT Fusion, TS/SCI Security Clearance"
Database Developer III,"Konami Gaming, Inc.","Las Vegas, NV",Mid senior,Onsite,"SQL, PL/SQL, Golden Gate, Oracle Data Guard, Advanced Queuing, APEX, Oracle technologies, SCHEMA, Containerization, Automation, Performance Tuning, Senior Managers, SYNKROS, Bachelor's Degree, Computer Science, Engineering, Oracle SQL, RealTime Systems, Large Data Sets, 24x7 RealTime computer system, Gaming industry experience, Software Development"
"Manager, Data Scientist - AI Foundations, Personalization",Capital One,"Richmond, VA",Mid senior,Onsite,"PyTorch, Keras, TensorFlow, Scikitlearn, Transformers, Deep Learning, Natural Language Processing, Machine Learning, Data Analytics, Data Science, Python, Recommendation Systems, Engineering, CrossFunctional Team, Product Management, Business Goals, Data Visualization, Machine Learning Models, Business Intelligence, Communication, LargeScale Systems, Software Development, Leadership, Customer Centricity, Innovation, Creativity, STEM Degree, Hypothesis Formulation, Programming Languages"
SAP-Data Migration-Manager-Consulting-Location Open,EY,"Chicago, IL",Mid senior,Onsite,"SAP, Data & Analytics, Customer, Tech/Arch, SuccessFactors, SAP Data Lead, SAP Certification, SAP experience, Blueprinting, Functional design, SAP project management, Client service, Technical writing, Projectbased team leadership, Knowledge of industryspecific finance and technology, Researching client inquiries and emerging issues, Willingness and ability to travel, Consulting industry experience, Bachelor's degree, Written and verbal communication, Presentation skills"
Data Processing Specialist - Information Technology Consultant I,San Diego State University,"San Diego, CA",Mid senior,Onsite,"Global Campus SIS (Higher Reach), SDSU SIMRS, Peoplesoft, Apex, Higher Reach, SDSU Qualtrics, Jenzabar Higher Reach system, Business goals, Oracle Database, Microsfot Excel, Computer science, Information systems, Educational technology, Communications, Data entry, Time management, Organizational skills, Verbal communication, Written communication, Troubleshooting, Multitasking, Fastpaced environment, Data hygiene, Data Analysis, Data reporting"
Data Center Technician (Lab experience),TEKGENCE INC,"Santa Clara County, CA",Mid senior,Onsite,"Linux, Server hardware, Server build, Desktop build, Data Center, Rack and stack, System troubleshooting, Soldering, DC components, Network cabling, Hardware labs, Board level debug, Oscilloscopes, System boards, System solutions, Attention to detail, Independent thinking, Out of box thinking, Liquid cooling, Hardware prototype"
Senior Microsoft Data Engineer,BES Group,"Manchester, England, United Kingdom",Mid senior,Onsite,"Microsoft Azure, SQL Server Integration Services, Azure Synapse Analytics, Azure Analysis Services, Azure Data Lake, Azure SQL Database, Azure Data Factory, Power BI, TSQL, Stored procedures, Temp tables, CTEs, Performance tuning, GIT, CI/CD, Data modelling, Data quality management, Data analysis, Debugging, Monitoring, Tuning, Troubleshooting, Stakeholder management, Business requirements, Design specifications, Data governance, Code management, Deployment, Microsoft Dynamics CRM, Data Bricks"
Per Diem Radiologic Technologist - MLK Community Hospital,UCLA Health,"Los Angeles, CA",Mid senior,Onsite,"Radiography, Fluoroscopy, Mobile equipment, Digital Radiography, Image processors, Patient care, Sterile technique procedures, Quality assurance procedures, Patient dignity, Patient confidentiality, Patient education"
Business and Data Analyst,Creative Financial Staffing (CFS),"Houston, TX",Mid senior,Onsite,"SQL, SSIS, SSRS, Data analytics, Data visualization, Dashboards, KPIs & metrics reporting, Structured & unstructured data concepts, Automation, Data integration, MIS or CS degree"
Sr. Manager - Data Assurance,Kraft Heinz,"Chicago, IL",Mid senior,Onsite,"SAP, Data Migration, Data Mapping, Data Replication, Master Data Management, ERP Implementation, SAP Functionality, SAP Training, Solutioning Workshops, Financial Data Analysis, Company Financials, P&L Statements, Financial Metrics, Team Leadership, FMCG Industry, Global Food Industry"
P3 - Senior Data Engineer 180420,Randstad Canada,"Halifax, Nova Scotia, Canada",Mid senior,Onsite,"Data Engineer, Data Integration, Data Migration, Data Extraction, Data Warehouse, Data Lake, Digital Health, Microsoft Azure, Azure Synapse Analytics, Azure Databricks, Azure SQL Databases, Delta Lake, Delta Tables, Gen2 Storage, Synapse Serverless, Synapse Dedicated Pools, MS Purview, Purview Atlas API, Purview data policies, Purview workflow modules, Data Profiling, Data Extraction, Data Pipelines, SQL, NoSQL, Agile Project Environment, Git, Azure DevOps, Personal/Protected Health Information Classifications, HIPAA Safe Harbor method"
Data Analyst,Four Squared Recruitment,"Oldbury, England, United Kingdom",Mid senior,Onsite,"Data Analysis, Financial Reporting, SSRS, Power BI, Excel, VBA, SQL, Data Reporting, Data Interrogation, Dashboard Development and Maintenance, Sage"
Data Center Operating Engineer,JLL,"Houston, TX",Mid senior,Onsite,"Data Center Operations, Maintenance, Troubleshooting, HVAC, Plumbing, Electrical, UPS, Generators, Transformers, Power Distribution, Refrigeration, Air Conditioning, Boilers, Ventilation, Water Heaters, Pumps, Valves, Piping, Filters, Computer Applications, Word, Excel, Verbal Communication, Written Communication, Corrigo, MCIM, Salesforce, Zendesk, Service Now, EPA 608, NFPA70E, Physical Work Abilities, Climbing, Bending, Kneeling, Lifting, Stooping, Overhead Work, Walking, Ladder Use, Holiday Work, Emergency Response, Shift Work"
Data & Reporting Analyst,Spectrum Community Solutions,"Stamford, CT",Mid senior,Onsite,"Data Analysis, Data Management, Reporting, Data Visualization, SQL, Business Intelligence, Data Quality, Data Integration, Forecasting, Dashboards, Communication, Problem Solving, Prioritization, Teamwork, Project Management, Microsoft Office Suite, DataDriven Presentations, English Proficiency"
Database Administrator 4,Sumeru Solutions,"Dimondale, MI",Mid senior,Onsite,"SQL Server, SQL Reporting Services, CEDS, Data warehouse, Data administration, Data management, ETL, Data pipelines, Data analysis, Data reporting, Data modeling, Data dictionaries, Physical database models, Logical database models, Performance tuning, Data storage management, Database definition language (DDL), Data control language (DCL), Structured query language (SQL), Database utility programs, Database security, Disaster recovery, Data integrity, Data redundancy, Logical data modeling, Physical data models, Relational database models, Security recovery procedures"
"Senior Manager, Data Center Infrastructure Mgt (DCIM/Controls)",QTS Data Centers,"Suwanee, GA",Mid senior,Onsite,"Sr. Manager Data Center Infrastructure Management (DCIM), Electric Power Monitoring Systems (EPMS), Building Management Systems (BMS), Quality Assurance (QA), Standard Operating Procedures (SOPs), US Citizenship, Project management, Processdriven orientation, Time management, Budget management, Performance management, Vendor management, Critical facilities support, Electrical engineering, Engineering Technology, BMS and EPMS systems, Power distribution systems, Industrial Control Programmable Logic Controllers (PLC), Commissioning qualification & change control activities, Engineering documents, Electrical diagrams, Control diagrams, Software application and computing infrastructures, Communication skills, Organizational skills, Attention to detail, Multitasking skills, Quick learner"
Senior Datacentre Engineer,In Technology Group,"Salford, England, United Kingdom",Mid senior,Onsite,"Data Center Engineering, Technical Support, Linux, Windows, Cloud Infrastructure, Service Level Agreements (SLAs), Presales Assistance, Requirements Capturing, Solution Proposal, Process Improvement, Quality Enhancement, Efficiency Improvement, Client Communication, Incident Tracking, KPI Monitoring, Budget Management, Technology Development, Performance Management, Knowledge Base Development, Documentation Maintenance, Casual Dress, Company Events, Onsite Parking, Bonus Incentives, Reward Programs, Shift Allowances, 8Hour Shifts, MondayFriday Schedule, Contributory Pension Scheme, Overtime Allowance, 26 Days of Annual Leave, Extra Annual Leave for Service Years"
Freelance Senior Data Analyst,Creative Circle,"New York, NY",Mid senior,Onsite,"Data Analysis, Reporting (Excel PowerPoint), Adobe Analytics, Data Collection, Measurement Planning, UAT Validation, Troubleshooting, Web Browser Debugging Tools, Insightful Analysis, Data Audit, Documentation, Collaboration, Test & Learn Projects, A/B Testing, Multivariate Testing, Digital Marketing, Customer Acquisition, Quantitative Analysis, Consulting, Communication, Statistics, Creative Circle, Freelance, Equal Employment Opportunity"
Data Architect - Commercial Aesthetics,AbbVie,"Lake County, IL",Mid senior,Onsite,"Data Architecture, Data Warehousing, Data Engineering, Data Lakes, Data Visualization, Machine Learning, Artificial Intelligence, Deep Learning, Natural Language Processing, BusinessDriven Data Exploration, Data Modeling, Data Visualization, Snowflake, AWS RedShift, SQL, Java, Python, Apache Spark, Business Intelligence, Data Warehouse, Analytics, Data Information Analyst, Systems Analyst, Analytics Architect, Reporting Architect, Agile Scrum Methodologies, Modern Engineering Practices, Pharmaceutical Business, Life Sciences Pharmaceutical Commercial, Sales Operations, Sales, IT Consultancy, Geographic Location"
Teacher - EL/ML (Long-Term Substitute),Jobs for Humanity,"Osseo, MN",Mid senior,Onsite,"EL/ML, MN teaching license, Tier 1 or 2 license, Education Minnesota Osseo, Equal Employment Opportunity"
Senior Data Engineer,Elder Research,"Philadelphia, PA",Mid senior,Onsite,"Data Engineering, Software Development, Data Governance, Data Visualization, Data Manipulation, Data Ingestion, SQL, NoSQL, Python, Java, Git, AWS, Azure, Google Cloud, Continuous Integration, Continuous Deployment, Cloud Platforms, Data Analysis, Data Modeling, Technical Writing, Presentation Skills, Communication Skills, Problem Solving, Teamwork, Collaboration, Leadership, ETL, Data Warehousing, Data Stores, Analytics, Software Tools"
Customer Service Representative/Data Analyst/Data Entry Clerk Part Time,Majorleaguebaseball,"Prince Albert, Saskatchewan, Canada",Mid senior,Onsite,"Data Analysis, Data Interpretation, Data Visualization, Statistical Modeling, Hypothesis Testing, A/B Testing, Data Management, ETL Processes, SQL, R, Python, Tableau, Power BI, Business Intelligence, Data Mining, Advanced Analytics, Predictive Analytics, Machine Learning, Artificial Intelligence, Big Data, Cloud Computing, Data Warehousing, Data Governance, Data Security"
Senior Data Engineer,Ascendo Resources,"Charlotte, NC",Mid senior,Onsite,"Data Engineering, ELT/ETL, Data Structures, Pipelines, Azure, Oracle, Synapse, Data Lakes, Dedicated Pool, Azure ML, SQL Server, ADF, SSIS, SSAS, SQL, Python, PowerBI, Microsoft SSIS/SSAS, ADO, ETL/ELT, Data Replication/CDC, MessageOriented Data Movement, API Design and Development, Data Integration Technologies, Data Transformation, Data Models, Schemas, Metadata, Workload Management, Data Science, Data Analytics, Data Governance, Data Management, Communication, Team Collaboration, Business Collaboration, Statistical Analysis, Machine Learning, Artificial Intelligence, Cloud Computing, Hybrid Cloud, OnPremises, Business Intelligence, Data Warehousing, Data Mining, Data Visualization, Problem Solving, Critical Thinking"
Associate Engineer - Data Analytics,Volvo Group,"Greensboro, NC",Mid senior,Onsite,"Data Analytics, Data Pipeline Management, Data Visualization, Data Modeling, Data Analysis, Data Infrastructure, Data Science, Python, SQL, PowerBI, Qlikview, Matplotlib, Bokeh, Engineering, Computer Science, Software Development, Test Automation, Continuous Integration, Continuous Development, Agile Development, DevOps, BI Software, Vehicle Testing, Electronics Hardware, Electronics Software, Automation, Bachelor's Degree"
Data Center Engineer - Nashville,DeRisk Technologies,"Nashville, TN",Associate,Onsite,"Server management, Storage and backup, Hyper converged infrastructure, Network switches, KVM units, WAN optimization, Firewalls, Access points, Routers, Cable management, Breakfix, Diagnostics, Hardware repair, Remote access, Storage array configuration, Tape management, Onsite support, Labelling, Patching, Asset tagging, IT principles, Networking, Active Directory, Server operations, Troubleshooting, IMAC, TCP/IP, Backup and recovery, English, Customer service, Communication, Logical thinking, Analytical skills, Record keeping, Unsupervised work, Time management, Quality focus, Productivity, Efficiency, Bachelor's degree, 57 years experience"
Sr Engineer - Data Science - Gaithersburg MD (Onsite) Local only,TekIntegral,"Gaithersburg, MD",Mid senior,Onsite,"Data Engineering, AI/ML, Data Science, Technical Leadership, Deployable Applications, Business Goals, Technical Goals, Proof of Concepts, Data Wrangling, Predictive Models, Computer Science, Data Science, Technical Experience, Computer Networking, Communications, Data Analysis, Python, R, SQL, Pandas, Machine Learning Models, ScikitLearn, TensorFlow, Keras, Open Source Libraries, Data Visualization Tools, Shiny, Tableau, Git, AWS, Google Cloud, Relational Databases, My SQL, BigQuery, Business and Technical Functional Units"
Lead Data Engineer (FinOps),Jobs for Humanity,"Atlantic City, NJ",Mid senior,Onsite,"Java, Scala, Python, Open Source RDBMS, NoSQL databases, Cloud based data warehousing services, Redshift, Snowflake, Data collection, Data storage, Data access, Data analytics, Machine learning, Distributed microservices, Full stack systems, AWS, Microsoft Azure, Google Cloud, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, MongoDB, Cassandra, UNIX/Linux, Shell scripting, Agile engineering practices"
"Operations Supervisor, MLT III | $10k bonus!",Interior Health Authority,"Grand Forks, British Columbia, Canada",Mid senior,Onsite,"Team Supervision, Mentoring, Coaching, Laboratory Staff Coordination, Technical Guidance, Laboratory Standards, Laboratory Accreditation, Safety Standards, Laboratory Processes, Laboratory Procedures, Laboratory Objectives, Laboratory Policies, Workplace Solutions, Continuous Learning, Education Opportunities, Development Opportunities, Community Hospital Operations, Medical Laboratory Technologist"
"Senior Technical Program Manager, Datacenter Compute Server Software",NVIDIA,"Hillsboro, OR",Mid senior,Onsite,"Software development, System software development, Linux, System level knowledge, Program Management Skills, Requirements gathering, Prioritization, Scheduling, Milestone management, Product development processes, Software release processes, Communication skills, Technical presentation skills, Strategic thinking, Tactical thinking, Consensus building, Problem solving, Modern programming language, Software engineering principles, Enterprise system architecture, Productizing enterprise server systems, HW / FW / SW coordination, Productivity tools, Process automation"
Data Processor - Bldg 2 - 2nd Shift,Kalitta Air,"Oscoda, MI",Mid senior,Onsite,"AMOS Database, Materials Management, WIP Management, Production Work, High School Diploma, English Proficiency, Verbal and Written Communication, Physical Strength, Construction, Maintenance"
Data Security Analyst,Dice,"Irving, TX",Mid senior,Onsite,"Data Security, Data Analytics, Data Management, Data Governance, Data Protection, Cryptography, Excel, Macros, PivotTable, VLOOKUP, Charts, PowerBI, Analytical Skills, Quantitative Skills, Business System Analysis, Data Encryption, Keys, Certificates, Reporting, Risk Management, Governance Processes"
Sr. Machine Learning Engineer,Warrior Tech Solutions,"Irving, TX",Mid senior,Onsite,"Machine Learning, Python, Java, AWS, GCP, Cloudbased platform/pipeline development, ML practices, Data science concepts, Collaboration skills, Communication skills, Cloud infrastructures, CI/CD process, Frameworks, MLOps, DevOps, Bachelor's degree, Software development, ML Engineering, Cloudbased development, Production environments, Large scale cloudbased platform/pipeline, Productization"
Data Reporting Analyst,Pegasus Steel LLC,"Ladson, SC",Associate,Onsite,"Data Analysis, Reporting, Data Visualization, Business Intelligence, SQL, Microsoft Office Suite, Advanced Excel, Macros, Pivot Tables, VLOOKUP, PowerPivot, ERP Systems, IFS ERP, Communication, Problem Solving, Strategic Thinking, Prioritization, Attention to Detail, Analytical Skills, Root Cause Analysis, Urgency, Collaboration, Time Management, Quantitative Analysis, Information Systems, Mathematics, Finance"
"Director, Senior Quantitative Finance Analyst, AML Model Validator",Bank of America,"Charlotte, NC",Mid senior,Onsite,"Machine Learning, Statistical Modeling, AntiMoney Laundering, Model Validation, Model Review, Governance Activities, Model Identification, Model Approval, Breach Remediation, Handson Leadership, Project Management, Communication, Technical Writing, SAS, Python, SQL, CAMS Certification, Mathematics, Physics, Finance, Engineering, Computer Science, Statistics"
Data and Analytics Sr. Program Manager,Fusemachines,"Florida, United States",Mid senior,Onsite,"Data engineering, Data warehousing, Data visualization, AI, Software development life cycle, Project management, Program Management, Agile, Scrum, Kanban, JIRA, Confluence, Roadmap, Release planning, Timeline, Spreadsheet, Documentation, Presentation tools, Negotiation, Budgeting, Resource allocation, MSP, PRINCE2, Quality assurance, Communication, Stakeholder engagement, Risk management, Business change management, Standardization, Change management, Knowledge sharing, Performance analysis, Innovation, Efficacy, Delegation, Professional development, Template creation, Policy creation, Partnership development, Daily standup, Sprint planning, Retrospective meeting"
Data Analyst I-Addictions Institute,Mount Sinai Health System,United States,Mid senior,Onsite,"Data management, Data analysis, Database applications, Statistical analysis, Medical research, Electronic medical records, Data quality control, Data cleaning, Data mining, Data reporting, Data security, Machine learning, Data visualization, SQL, Python, R, SAS, Tableau, Power BI, Hadoop, Spark, NoSQL, MongoDB, Cassandra, AWS, Azure, GCP, Git, Docker, Kubernetes, Agile, Scrum, Kanban, Bachelor's degree in computer science statistics or a related field, Master's degree in a relevant field of study preferred, 23 years of database application/management experience, Experience in a large medical center or healthcare environment preferred, Excellent communication and interpersonal skills, Ability to work independently and as part of a team, Strong analytical and problemsolving skills, Attention to detail and accuracy, Ability to meet deadlines and work under pressure"
Database Manager Administrator III with Security Clearance,ClearanceJobs,"Norfolk, VA",Mid senior,Onsite,"Database Administration, Computer Science, Software Development, Information Networks, Database Installation, Database Configuration, Database Performance Tuning, Data Correction Logs, Data Correction Logs, Master's Degree, Computing Environment/Operating System (CE/OS) certifications, IATII level, Active U.S. Secret Clearance, TSSCI eligible"
