link,headline,category,short_description,authors,date
https://www.huffingtonpost.comhttp://www.zocalopublicsquare.org/2016/04/28/meet-the-new-president-of-l-a-s-berggruen-institute/personalities/in-the-green-room/,Meet The New President Of The Berggruen Institute,THE WORLDPOST,"Sociologist Craig Calhoun discusses getting into trouble as a kid, talking to strangers and what it means to be American.",,2016-04-29
https://www.huffingtonpost.com/entry/kardashian-kurves-contest-plus-size_us_5b9c0d85e4b03a1dcc7c06fe,Kardashian Kurves Contest Launches Sisters' Plus-Size Denim Line,STYLE & BEAUTY,"See Kim's kurvy style through the years: Finally, a Kardashian venture we're (somewhat) excited about. So what does it take",,2012-07-27
https://www.huffingtonpost.com/entry/bill-hader-hosting-snl-saturday-night-live_n_5836756.html,This Episode Of 'SNL' Will Have EVERYTHING,COMEDY,,Carol Hartsell,2014-09-17
https://www.huffingtonpost.com/entry/opioid-addiction-patient-limits-suboxone_us_56f9aa0be4b0143a9b491020,Obama Administration Offers Desperately Needed Help For People Addicted To Opioids,POLITICS,HHS lays out its plan to raise the patient cap for doctors prescribing addiction medication.,Jason Cherkis,2016-03-29
https://www.huffingtonpost.com/entry/left-turns-talking-distracting-distracted-driving_us_5b9cde08e4b03a1dcc82904f,"Talking While Making Left Turns Is Distracting, Study Finds",WELLNESS,"According to government statistics on distracted driving, cell phones are behind 18 percent of U.S. distraction-related deaths",,2013-02-28
https://www.huffingtonpost.com/entry/celeb-halloween-costumes_us_5b9d9406e4b03a1dcc89bf0c,The Wildest Celeb Halloween Costumes,STYLE & BEAUTY,"From Heidi Klum's legendary costumes for her annual fete to Roberto Cavalli done up as Karl Lagerfeld, here's proof that big personalities, big costume budgets, and big Halloween parties yield some truly amazing, and amazingly bizarre results.","W Magazine, Contributor
W Magazine",2013-10-08
https://www.huffingtonpost.com/entry/charlie-hebdo-rally_n_6451286.html,World Leaders Join Crowd Of Over A Million For National Unity March In Paris,WORLDPOST,,Nick Robins-Early,2015-01-11
https://www.huffingtonpost.com/entry/as-long-as-there-is-american-sitcom_b_7092566.html,As Long as There Is (American) Sitcom,ENTERTAINMENT,"No matter how TV has changed and will change again over the years, if there is a genre that has no need to reinvent itself, that genre is comedy. The only thing that a good comedy really needs is a small, cozy room full of great and enthusiast writers.","Eva Barros Campelli, ContributorBudding film/TV journalist & freelance writer",2015-04-19
https://www.huffingtonpost.com/entry/syria-toxic-gas-attack_us_57a06263e4b0e2e15eb70bd7,"Toxic Gas Dropped On Syrian Town Where Russian Helicopter Shot Down, Rescuers Say",THE WORLDPOST,"A spokesman for Syria Civil Defence said 33 people, mostly women and children, were affected by the gas in Saraqeb.",,2016-08-02
https://www.huffingtonpost.com/entry/how-raising-an-introvert-made-me-a-better-educator_us_56d8760ce4b0000de4039b9d,How Raising An Introvert Made Me A Better Educator,HEALTHY LIVING,"This article first appeared on QuietRev.com Heidi Kasevich is Quiet Revolution’s Director of Quiet Education, leading the","Heidi Kasevich, Quiet Revolution",2016-04-14
https://www.huffingtonpost.com/entry/prince-george-doll_us_5b9db76be4b03a1dcc8bec08,Prince George Doll Is Almost Too Lifelike... (PHOTOS),STYLE & BEAUTY,"However, if porcelain dolls are really your thing, you can get your own delicate Georgie for just $149.99. Will you buy one",Ellie Krupnick,2013-12-13
https://www.huffingtonpost.com/entry/pfizer-allergan-scrap-160-billion-merger_us_5704edede4b0537661882620,"Pfizer, Allergan Scrap $160 Billion Merger Over Tax Loophole Pressure",BUSINESS,The announcement followed the unveiling of new U.S. Treasury rules on Monday aimed at curbing such deals.,,2016-04-06
https://www.huffingtonpost.com/entry/activist-urges-for-more-awareness-after-suicide-convention_us_562643c0e4b02f6a900dc903,Activist Hopes Public Suicide Leads To More Awareness,HEALTHY LIVING,"ANCHORAGE, Alaska (AP) — An Alaska suicide-prevention activist is hoping a man's very public suicide at an Alaska Native","Rachel D'Oro, AP",2015-10-20
https://www.huffingtonpost.com/entry/ebola-new-york-city_n_6041536.html,"Most New Yorkers Aren't Freaking Out About Ebola, So You Shouldn't Either",HEALTHY LIVING,,Carly Schwartz,2014-10-24
https://www.huffingtonpost.com/entry/14-rose-gold-beauty-products-thatll-make-you-look-like-24-karats_us_579f918ce4b08a8e8b5ed8df,14 Rose Gold Beauty Products That'll Make You Look Like 24 Karats,STYLE,Get your shine on.,Jenna Amatulli,2016-08-02
https://www.huffingtonpost.com/entry/ohio-innocence-project_us_57d6cd59e4b03d2d459b7619,Record $15 Million Gift Will Help Free Innocent People From Prison,POLITICS,The donation to the Ohio Innocence Project is believed to be the largest donation to any program of its kind.,Ryan J. Reilly,2016-09-13
https://www.huffingtonpost.com/entry/bbq-sauce-recipes_us_5b9d977ee4b03a1dcc89e4de,"An Apple a Day ... Takes Your Barbecue to the Next Level! Plus, the Three Best BBQ Sauce Recipes to Try Now",FOOD & DRINK,October is National Apple Month. Let's celebrate the contributions this storied fruit has made to American barbecue.,"Steven Raichlen, Contributor
Grilling Authority, barbecuebible.com",2013-10-11
https://www.huffingtonpost.com/entry/top-5-tastes-stone-fruit_us_5b9d6ee5e4b03a1dcc87efd8,"Top 5 Tastes: Stone Fruit, Seafood and Everything in Between",FOOD & DRINK,"I consider myself extremely lucky to be able to eat at high class spots, hole in the wall joints, and everywhere in between on a regular basis (and to the immense detriment of my financial funds).","Leah Bhabha, Contributor
Writer",2013-08-14
https://www.huffpost.com/entry/james-clapper-trump-bin-laden_n_5bf3f065e4b01909c80938d5,James Clapper Calls Trump's Bin Laden Criticism A 'Slam At The Intelligence Community',POLITICS,The president thinks retired Navy Adm. William McRaven should have brought Osama bin Laden to justice sooner.,Willa Frej,2018-11-20
https://www.huffingtonpost.com/entry/trump-fbi-director-comey_us_5913321ee4b0a58297e16ec3,Donald Trump Says He Fired FBI Director Because He Wasn't 'Doing A Good Job',POLITICS,He weighed in on James Comey's ouster while meeting with Henry Kissinger.,Igor Bobic,2017-05-10
https://www.huffingtonpost.com/entry/mark-hamill-last-jedi-luke-skywalker_us_5a3cf644e4b025f99e16864d,Mark Hamill Rips His Role In 'Last Jedi': 'He's Not My Luke Skywalker',ENTERTAINMENT,The actor dishes on his creative differences with director Rian Johnson.,Ron Dicker,2017-12-22
https://www.huffingtonpost.com/entry/meningitis-outbreak-nowhere-near-end-wiliam-schaffner_us_5b9c69e6e4b03a1dcc7e74af,"Meningitis Outbreak Is 'Nowhere Near The End,' Expert Says",WELLNESS,SUSPECT LOTS The FDA said its investigation of that patient and the two who received the heart drug during surgery was ongoing,"Reuters, Reuters",2012-10-16
https://www.huffingtonpost.com/entry/is-your-outdated-career-m_b_7245648.html,Is Your Outdated Career Map Leading You Astray?,BUSINESS,"If you have been tending to your career lovingly for many years, you will be able to visit your career map in light of this new discovery, decide what on the map still resonates with you and what doesn't (even massive changes will carry some elements of your ""old life"" into the new), and chart a new course.","Amanda Yuill, ContributorCareer and Lifestyle Coach, Positive Leadership Consultant, Li...",2015-05-09
https://www.huffingtonpost.com/entry/holiday-gift-bags-wrapping-paper_us_5b9c92c9e4b03a1dcc7ff2a9,Holiday Gift Bags vs. Wrapping Paper,HOME & LIVING,Everyone has their holiday pet peeves.,"Courtney Cachet, Contributor
Media Personality, Celebrity Designer, Style Expert",2012-12-03
https://www.huffingtonpost.comhttp://www.theshadowleague.com/articles/pour-out-a-lil-liquor-for-the-nfl-s-diva-receiver-era,Pour Out A Lil' Liquor For The NFL's Diva Recievers,BLACK VOICES,"Six years ago, the Bengals opened up their season at Paul Brown Stadium against the Ravens. It was also Monday Night Football",,2013-09-21
https://www.huffingtonpost.com/entry/11-year-old-running-half-marathon-to-save-the-wolves_b_7110252.html,11-Year-Old Running Half Marathon to Save the Wolves,IMPACT,"By the time August rolls around he'll start adding some progressively longer runs each weekend to build up his endurance. He's hoping to run like a wolf tracking its prey over long distances: calm, easy, and patient until the end.","Jason Saltmarsh, ContributorRunner, Writer",2015-04-23
https://www.huffingtonpost.com/entry/the-tipsy-hostess-guide-to-moving_us_5b9d2c7de4b03a1dcc852a57,"The Tipsy Hostess' Guide To Moving, If You Absolutely Must (GIFs)",HOME & LIVING,"Your martini shaker, for instance, is the last thing you should pack.",Brie Dyas,2013-06-01
https://www.huffingtonpost.com/entry/taxes-nightmare-for-homes_us_5b9d55aee4b03a1dcc86c55d,Taxes Nightmare For Homesellers Few Understand,HOME & LIVING,"The foreclosure mess due to the economic downturn has left many homeowners facing devastating taxes, even after they sell a house in a foreclosure or short sale or one that is underwater, so they earn little, nothing, or sell the home at a loss.","Gini Graham Scott, Contributor
Scott is an author of over 50 published books, a writer/execut...",2013-07-09
https://www.huffingtonpost.com/entry/marco-rubio-social-security_us_56e230abe4b065e2e3d5781d,Marco Rubio Forced To Say How High He'd Raise Social Security's Retirement Age,POLITICS,The current retirement age for full Social Security benefits is 67 for people born in 1960 and after.,Arthur Delaney,2016-03-11
https://www.huffingtonpost.com/entry/fearless-girl-meet-righteous-brother_us_58f4a826e4b048372700d9c5,"Fearless Girl, Meet Righteous Brother",POLITICS,"She’s “standing up to injustice,” in the eyes of New York City’s mayor. Meanwhile, a territorial artist claims that she’s","Theodore Hamm, ContributorEditor, Frederick Douglass in Brooklyn (Akashic Books, 2017)",2017-04-17
https://www.huffingtonpost.com/entry/intimacy-after-loss_us_5b9d9e96e4b03a1dcc8a5502,How to Be Intimate Again After Loss,WELLNESS,If the answer is yes: Thank you for taking the first step towards living again. But how could I love again and feel alive,"Christina Rasmussen, Contributor
Christina Rasmussen is the author of Second Firsts: Live, Laug...",2013-10-28
https://www.huffingtonpost.com/entry/people-with-this-eye-color-are-at-higher-risk-of-alcoholism_us_55a3daa6e4b0b8145f730811,The Strange Link Between Eye Color And Alcohol Abuse,HEALTHY LIVING,"Agata Blaszczak-Boxe, Contributing Writer   |   July 08, 2015 07:44pm ET  People with light-colored eyes may have a higher","Agata Blaszczak-Boxe, LiveScience.com",2015-07-14
https://www.huffingtonpost.com/entry/trolltunga_us_5b9da879e4b03a1dcc8af447,"Trolltunga, Norway Is The Scariest Instagram Spot On Earth",TRAVEL,Wanna climb (and Instagram) Trolltunga too? Get more info here. Crazy hikers make the four-hour trek to Trolltunga for the,Suzy Strutner,2013-11-16
https://www.huffingtonpost.com/entry/nonagenarians-go-on-blind-date-at-bookstore-ditch-the-dating-apps_us_5717ccb4e4b0479c59d6c328,"Nonagenarians Ditch Dating Apps, Go On Blind Date At Bookstore",GOOD NEWS,No Tinder was involved!,Kimberly Yam,2016-04-20
https://www.huffingtonpost.com/entry/parkour-gym-soft-indoor_us_5b9d9393e4b03a1dcc89ba2d,"Parkour Vaults From The Urban Jungle To Soft, Indoor Gyms",WELLNESS,"""We're not just a gym, we're an educational facility,"" said Ryan Ford, co-owner and instructor at Apex Movement, a Boulder","Reuters, Reuters",2013-10-07
https://www.huffingtonpost.com/entry/technology-meditation_us_5b9cb4aee4b03a1dcc810f95,7 Ways to Practice Mindfulness in the Technology Age,WELLNESS,"Technology is here to stay.  Why not embrace it and use it to raise our levels of presence?  We can do this by tuning into our breath, our feelings and bodily sensations.  This lets us know how we are relating to technology in the moment.","Sura, Contributor
Meditation Coach, SuraCenter.com",2013-01-14
https://www.huffingtonpost.com/entry/kesha-dr-luke-lawsuit_us_5705a132e4b053766188b636,Judge Dismisses Kesha's Abuse Claims Against Dr. Luke,ENTERTAINMENT,The pop star can continue to litigate her contract dispute with her producer and Sony Music Entertainment.,Michael McLaughlin,2016-04-07
https://www.huffingtonpost.com/entry/new-jersey-mountain-home_us_5b9d6205e4b03a1dcc874fe9,New Jersey Mountain Home Is Pretty Much Its Own Resort (PHOTOS),HOME & LIVING,"Have something to say? Check out HuffPost Home on Twitter, Facebook, Pinterest, Tumblr and Instagram. ** This single-level",Michelle Manetti,2013-07-26
https://www.huffingtonpost.com/entry/joseph-gordon-levitt-don-jons-addiction_us_5bb41302e4b066f8d2545166,Joseph Gordon Levitt & 'Don Jon's Addiction': Actor's Latest Project Is Raunchy,ENTERTAINMENT,"Julianne Moore plays the film's most unexpected character, a middle-aged pot-smoking student at the night school Barbara",Mike Hogan,2013-01-19
https://www.huffingtonpost.com/entry/fashion-week-live-blog_us_5b9dd35ee4b03a1dcc8d62d8,Fashion Week Live Blog: Everything That's Happening At Day 4 Of NYFW Fall 2014,STYLE & BEAUTY,"Yeah, we know it's Sunday, but more importantly, it's Day 4 of New York Fashion Week. If you're having a hard time keeping",Rebecca Adams,2014-02-09
https://www.huffingtonpost.com/entry/bob-woodward-hillary-clinton_us_56b21b55e4b08069c7a59b98,"Bob Woodward's Problems With Hillary Clinton Definitely Aren't Sexist, No Sir",MEDIA,He just wishes she would stop shouting.,Willa Frej,2016-02-03
https://www.huffingtonpost.com/entry/hotel-suites-good-enough_us_5b9c4fb6e4b03a1dcc7db8b9,Hotel Suites Good Enough For The President (PHOTOS),TRAVEL,"The commander-in-chief checks in and out of rooms across the globe, but only a few stateside properties have made the White House staff repeat customers -- check out these 13 hotels fit for a president.","Conde Nast Traveler, Contributor
Conde Nast Traveler",2012-09-21
https://www.huffingtonpost.com/entry/john-corbett-actor-sex-and-the-city_us_5b9d26ade4b03a1dcc84ecd6,"John Corbett, Actor From 'Sex And The City,' Looks Very Different (PHOTOS)",STYLE & BEAUTY,"John's blonde hair, soul patch and mustache are quite a far cry from Aidan's low-maintenance vibe. What would Carrie think",Rebecca Adams,2013-05-10
https://www.huffingtonpost.com/entry/19-kids-and-counting_us_5b9d9402e4b03a1dcc89be9e,Michelle Duggar: 'Each Child Is A Gift From God',PARENTING,"She says their daughter, Jill, gets it completely. ""When you have more people in the family, there is that many more people",,2013-10-11
https://www.huffingtonpost.com/entry/polls-clinton-leading-tight-race_us_57d69c87e4b00642712e3896,HUFFPOLLSTER: Weekend Polls Show Hillary Clinton Leading An Increasingly Tight Race,POLITICS,One big question is how much voter enthusiasm will matter.,Natalie Jackson and Ariel Edwards-Levy,2016-09-12
https://www.huffingtonpost.com/entry/packers-block-punt-ravens-first-down-gif_us_5bb715cde4b097869fd42135,"Packers Block Punt, Ravens Get First Down Out Of It (GIF)",SPORTS,"Usually, it's a good thing when a team blocks a punt. But wasn't the case when the Packers blocked a punt from Ravens punter",,2013-10-13
https://www.huffingtonpost.com/entry/friday-talking-points-liar-liar_us_593b465be4b094fa859f1875,"Friday Talking Points -- Liar, Liar!",POLITICS,"President Donald Trump and former F.B.I. chief James Comey engaged this week in an extended game of ""Liar, liar!"" Or, more","Chris Weigant, ContributorChris Weigant is a political commentator.",2017-06-10
https://www.huffingtonpost.com/entry/rms-st-helena-last-of-the_b_6281038.html,"RMS St. Helena, Last of the Storied Royal Mail Ships:  Getting Really, Truly, Terminally Away From It All on the Looney Front (Part 3)",TRAVEL,"Once they proudly sailed the seven seas, mighty traveling hotels, carrying both passengers and cargo to the furthest outposts of the British Empire, earning their prestigious title of RMS (Royal Mail Ship) by dint of carrying His or Her Britannic Majesty's mail to his or her farthest-flung subjects.","Mike Arkus, ContributorJournalist",2014-12-15
https://www.huffingtonpost.com/entry/10-worst-provisions-in-the-republican-appropriations_us_59ba9215e4b0390a1564db62,10 Worst Provisions In The Republican Appropriations Bill,POLITICS,"Last week, Democratic leaders in Congress negotiated with President Trump to ensure that our government stays fully funded","Rep. Jan Schakowsky, ContributorProudly representing the 9th District of Illinois in the House...",2017-09-14
https://www.huffingtonpost.com/entry/the-best-hotel-coffee-bars_us_5b9c6ee0e4b03a1dcc7e97b2,The Best Hotel Coffee Bars Across The U.S. (PHOTOS),TRAVEL,We've found five of the best hotel coffee bars across the states so you can get that jolt you need without having to leave your hotel.,"Oyster.com, Contributor
The Hotel Tell-All",2012-10-29
https://www.huffingtonpost.com/entry/the-battle-of-identities_b_5171526.html,The Battle of Identities and Presidential Elections in the Arab Region,WORLDPOST,,"Raghida Dergham, ContributorColumnist and Senior Diplomatic Correspondent, Al Hayat",2014-04-18
https://www.huffingtonpost.com/entry/chipotle-paid-sick-leave_us_56a11964e4b076aadcc582fa,Chipotle's Paid Sick Leave Has Nothing To Do With Its Food Safety Crisis,BUSINESS,"It's still a great move, though.",Emily Peck,2016-01-21
https://www.huffingtonpost.com/entry/dylan-autism-and-the-butterfly-effect_b_7000056.html,"Dylan, Autism and the Butterfly Effect",IMPACT,"Is it unreasonable to imagine that a child or children in one part of the world may be helped, simply because one person in another part of the world decided to run a few miles?","Suzy Hayman DeYoung, ContributorSuzy DeYoung lives and works in Newtown, CT",2015-04-06
https://www.huffingtonpost.com/entry/most-interesting-hotel-amenities_us_5b9cd6cbe4b03a1dcc824c27,Funky Freebies And Looney Loaners: The 7 Most Interesting Amenities We've Seen (PHOTOS),TRAVEL,"When you're shelling out hard-earned cash for your hotel room, it's nice when the hotel recognizes that and throws in some perks ""just because.""","Oyster.com, Contributor
The Hotel Tell-All",2013-04-04
https://www.huffingtonpost.com/entry/you-dont-need-rosecolored_b_7701686.html,You Don't Need Rose-Colored Glasses: 5 Realistic Tips to Be More Positive,BUSINESS,"I used to look at people like that with a mixture of admiration and annoyance. Then one day I asked myself, what are they doing that is different?","Valeh Nazemoff, ContributorInternational bestselling author of ""The Four Intelligences of...",2015-07-01
https://www.huffingtonpost.com/entry/uber-waymo-settlement_us_5a7dc809e4b044b3821ccbc7,"Uber, Waymo Reach Settlement In Bitter Legal Dispute",BUSINESS,Uber had been accused of stealing trade secrets from Waymo.,,2018-02-09
https://www.huffingtonpost.com/entry/scott-pruitt-security-epa_us_5afaaee1e4b0200bcab89d80,"Scott Pruitt Got 24/7 Security From Day 1 At EPA, New Documents Show",POLITICS,The EPA had justified Pruitt's expensive security as a response to threats. New emails appear to cast further doubt on the claim.,Willa Frej,2018-05-15
https://www.huffingtonpost.com/entry/romantic-honeymoon-hotels_us_5b9cf542e4b03a1dcc834709,Romantic Honeymoon Hotels around the World (PHOTOS),TRAVEL,Honeymoons must be two things: romantic and memorable. Any old trip to the beach is simply not going to suffice for a couple's post-nuptial getaway.,"Oyster.com, Contributor
The Hotel Tell-All",2013-03-24
https://www.huffingtonpost.com/entry/an-honest-customs-declaration-form_us_5b9bdecde4b03a1dcc7adcae,An Honest Customs Declaration Form,TRAVEL,"Whether you're traveling with immediate family members or not, you'd better fill out at least three or four extra copies","Peter Mandel, Contributor
Washington Post contributor, children's book author",2012-06-20
https://www.huffingtonpost.com/entry/easter-cheese-crescia_b_5170747.html,Easter Cheese Crescia,TASTE,"I collected this recipe from scraps found in my grandma's old notebook, which had been buried in a closet for several years.","Food52, Contributorfood52.com",2014-04-18
https://www.huffingtonpost.com/entry/5-boutique-hotels-sexy_us_5b9cdcb9e4b03a1dcc82833c,5 Boutique Hotels With Sex Appeal (PHOTOS),TRAVEL,We picked our favorite boutiques that have all the necessary trappings for romance.,"Oyster.com, Contributor
The Hotel Tell-All",2013-02-27
https://www.huffingtonpost.com/entry/one-formula-to-lead-and-l_b_5844908.html,One Formula to Lead and Live Better: 75+/25-,BUSINESS,"We've all heard about the ""power of positive thinking,"" but flick on the news, and you'll see the world seems to prefer tuning in to the negative most of the time.  Where's the good stuff? The answer: It's everywhere.  It's free of charge, too.","David Peck, ContributorPrincipal & Senior Executive Coach at Goodstone Group, author,...",2014-09-18
https://www.huffpost.com/entry/chris-hayes-donald-trump-resign-coronavirus-pandemic_n_5ef6e9c7c5b6acab2841f81f,Chris Hayes Demands Donald Trump Resign With Damning Review Of His Presidency,POLITICS,"It is “an urgent matter of public health” that Trump quits, the MSNBC host said.",Lee Moran,2020-06-27
https://www.huffingtonpost.com/entry/naked-man-crashes-car-sex-la-grande-washington_us_5a19574fe4b0d4906caf01b1,"Naked Drunk Driver Crashes Car While Having Sex At The Wheel, Police Say",CRIME,"An infant was in the vehicle's backseat at the time, according to authorities.",Lee Moran,2017-11-25
https://www.huffingtonpost.com/entry/breast-cancer-vaccine_us_5b9d10f5e4b03a1dcc843bd6,Vaccine of Hope,WELLNESS,"""We have developed a vaccine to prevent breast cancer!""  No, you're not seeing things. These were the exact words expressed by Dr. Vincent Tuohy, immunologist at the Cleveland Clinic, who announced the development of his breakthrough breast cancer vaccine earlier this month.","LORI SOKOL, Contributor
EXECUTIVE DIRECTOR",2013-04-30
