isbn,title,author,amazon_price,amazon_rating,flipkart_price,flipkart_rating
9380349300,Life is What You Make It,Preeti Shenoy,75,4.0 out of 5 stars,86,4.1
9386850494,Poonachi: Or the Story of a Black Goat,by Perumal Murugan,114,4.5,288,4.7
9385887750,The Hunt for the Secret Papyrus (Geronimo Stilton),by Geronimo Stilton - Import,328,4.6,328,4.5
9352603869,Bharat Ki Rajvayvastha,M. Laxmikanth,381,4.5 out of 5 stars,385,4.5
9352607996,Object-Oriented Programming with C++,by E Balagurusamy,371,4.5,371,4.5
9351160092,Unbreakable,by Mary Kom,145,4.6,145,4.5
8172238452,The Hindu View Of Life,by S. Radhakrishnan,149,4.3,191,4.3
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
8184511523,India Map,by Dreamland Publications,91,4.6,104,4.3
9351472019,A Handbook on Electronics Engineering - Illustrated Formulae & Key Theory Concepts,by Made Easy Editorial Board,278,4.3,223,4.4
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
8172345135,Metamorphosis,by Franz Kafka,69,4.2,94,4.4
9388026586,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,270,4.3 out of 5 stars,325,4.5
8179922324,Who Will Cry When You Die?,Robin Sharma,103,4.4 out of 5 stars,115,4.4
9386228564,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,363,4.6,434,4.7
9312147501,CBSE All  In One Science Class 8 for 2018 - 19,by Arihant Experts,151,4.3,151,4.5
8185986002,Swami and Friends,by R. K. Narayan,114,4.6,112,4.4
8129135744,The Dramatic Decade: The Indira Gandhi Years,by Pranab Mukherjee,199,3.7,338,4.4
8184511213,World Map,by Dreamland Publications,91,4.5,130,4.4
9382665889,You are My Reason to Smile,by Arpit Vageria,88,4.4,101,4.3
1785040472,The Magic of thinking Big,by David J Schwartz,227,4.5,227,4.5
9350944308,Handbook of Computer Science & IT,by Surbhi Mitra,190,3.9,120,4.2
9350641003,Turning Points (Hindi),by A.P.J. Abdul Kalam,160,4.7,185,4.4
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9312149687,CBSE All  In One Science CBSE Class 9 for 2018 - 19,by Arihant Experts,230,4.6,230,4.5
9387504921,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,320,4.7,303,4.4
8173711461,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,194,4.6 out of 5 stars,265,4.6
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
8184958455,Mossad,by Michael Bar-Zohar - Import,340,4.6,280,4.5
9351160092,Unbreakable,by Mary Kom,145,4.6,145,4.5
9387504921,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,320,4.7,303,4.4
9352779398,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",by Monika Halan,367,4.5,248,4.6
9384761540,General Knowledge,Not Available,156,4.4 out of 5 stars,180,4.4
1849838399,The Magic,by Rhonda Byrne,230,4.6,255,4.4
8172345135,Metamorphosis,by Franz Kafka,69,4.2,94,4.4
9386224445,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,162,4.1,162,4.4
8129134616,Not Just an Accountant: The Diary of the Nations Conscience Keeper,by Vinod Rai,378,4.5,358,4.4
9351362256,Byculla to Bangkok,by S. Hussain Zaidi,192,4.1,176,4.4
9386313774,The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10),by Geronimo Stilton,374,4.8,374,4.5
9386224585,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,226,4.3,226,4.6
8172235011,Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,by B.K.S. Iyengar,298,4.5,298,4.5
8184958455,Mossad,by Michael Bar-Zohar - Import,340,4.6,280,4.5
8192910997,How to Win Friends and Influence People,Dale Carnegie,79,4.5 out of 5 stars,130,4.5
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
9350899175,Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,175,4.4,237,4.6
9386224399,This Is Not Your Story,by Savi Sharma,100,4.5,125,4.3
8183224008,The Power of Your Subconscious Mind,by Joseph Murphy,159,4.5,187,4.5
9388240944,Banking Awareness for SBI & IBPS Bank Clerk/PO/RRB/RBI Exams,by Disha Experts,147,4.5,158,4.5
9386036754,Everyone Has A Story,by Savi Sharma,100,4.1,125,4.3
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9385887750,The Hunt for the Secret Papyrus (Geronimo Stilton),by Geronimo Stilton - Import,328,4.6,328,4.5
9332551731,NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,216,4.4 out of 5 stars,249,4.4
8175994258,3 and a Half Murders: An Inspector Saralkar Mystery,by Salil Desai,189,4.4,188,4.5
9386850575,Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,293,4.9,327,4.7
8179922324,Who Will Cry When You Die?,Robin Sharma,103,4.4 out of 5 stars,115,4.4
9386224585,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,226,4.3,226,4.6
8186775056,Questions Are the Answers,by Allan Pease,83,4.4,76,4.4
9382618341,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,282,4.4,282,4.4
8172234856,Nothing Lasts Forever,by Sidney Sheldon,266,4.2,280,4.5
9382618341,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,282,4.4,282,4.4
9382665846,No Matter What I Do: I end up Falling for You,by Devanshi Sharma,88,4.2,100,4.2
8179922324,Who Will Cry When You Die?,Robin Sharma,103,4.4 out of 5 stars,115,4.4
8190256211,Autobiography of a Yogi (Complete Hindi Edition),by Paramahansa Yogananda,161,4.8,210,4.5
9381626340,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,244,4.6,244,4.6
8184955561,The Essence of Law of Success (Hindi),by N Hil,143,4.4,167,4.1
9388026764,19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,by Disha Experts,175,3.8,189,4.2
1405206209,The Crab with Golden Claws (Tintin),by Herge,279,4.7,285,4.8
1526603330,Circe: The Sunday Times Bestseller,by Madeline Miller,364,4.3,388,4.5
9381394997,Banaras Talkies,by Satya Vyas,87,4.5,125,4.4
9352603451,Ancient and Medieval India,by Poonam Dalal Dahiya,342,4.5,380,4.6
8129141841,The Man Eating Leopard of Rudraprayag,by Jim Corbett - Import,140,4.7,155,4.6
8184958455,Mossad,by Michael Bar-Zohar - Import,340,4.6,280,4.5
9381626685,The Krishna Key: Book 3 in the Bharat Series of Historical and Mythological Thrillers,by Ashwin Sanghi,230,4.1,230,4.2
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9387067548,Indian Art and Culture,by Nitin Singhania,412,4.5,390,4.6
9332551731,NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,216,4.4 out of 5 stars,249,4.4
9312147307,General Knowledge 2019,Manohar Pandey,19,4.2 out of 5 stars,30,4.3
9385936263,Driven: The Virat Kohli Story,by Vijay Lokapally,299,4.4,320,4.6
8184007485,The Great Indian Diet,by Shilpa Shetty Kundra,161,4.0,161,4
1250006201,The Book of Children: Supporting the Freedom and Intelligence of a New Generation...,by Osho,298,4.6,280,4.5
8172235437,Veronika Decides to Die,by Paulo Coelho,186,4.4,209,4.4
8179925919,The Theory of Everything,Stephen Hawking,111,4.5 out of 5 stars,190,4.2
8189955357,Autobiography of a Yogi (Telugu),by Paramahansa Yogananda,141,4.7,171,4.5
9352774531,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children,by Dr Prashant Jindal,157,4.6,176,3.9
1904233910,Eclipse,by Stephenie Meyer,447,4.3,309,4.5
9381626812,Chanakya's Chant: Book 2 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,244,4.1,244,4.3
8172345135,Metamorphosis,by Franz Kafka,69,4.2,94,4.4
9386850648,Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,100,4.0,231,4.4
8184006357,Legal Eagles: Stories of the Top Seven Indian Lawyers,by Indu Bhan,310,3.9,320,4.3
8177092324,Concept of Physics Part-2 (2018-2019 Session) by H.C Verma,by H.C. Verma,267,4.5,267,4.5
9351362639,Ace against Odds,by Sania Mirza,290,4.1,275,4.4
8120352394,Textbook of Fabric Science: Fundamentals to Finishing,by Sekhri Seema,275,4.8,265,4.5
8184951191,The Leader Who Had No Title,by Robin Sharma,189,4.4,160,4.4
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
8172345135,Metamorphosis,by Franz Kafka,69,4.2,94,4.4
9384030570,13 Steps to Bloody Good Luck,by Ashwin Sanghi,90,4.1,114,4.1
8179925919,The Theory of Everything,Stephen Hawking,111,4.5 out of 5 stars,190,4.2
1501124021,Principles: Life and Work,by Ray Dalio,864,4.4,733,4.8
8175994479,12 Years a Slave,by Solomon Northup,99,4.5,140,4.4
1509808361,The Jungle Book (First Stories),by Miriam Bos,224,4.4,186,4.8
8187107588,365 Pancharantra Stories,by OM Books,357,4.1,396,4.4
8175992832,War & Peace,by Leo Tolstoy,279,4.3,319,4.4
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9387504921,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,320,4.7,303,4.4
9352531299,Indian Economy,by Gaurav  Datt,499,3.6,499,4.1
9387504832,Oswaal CBSE Question Bank Class 9 Science Chapterwise and Topicwise (For March...,by Oswaal Editorial Board,295,4.6,265,4.4
1250127505,Grinding It Out: The Making of McDonald's,by Ray Kroc,280,4.5,280,4.5
8129144514,Lanka’s Princess,by Kavita Kanè - Import,272,4.1,178,4.5
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9386224984,Gazing at Neighbours: Travels Along the Line That Partitioned India,by Bishwanath Ghosh,195,4.5,218,4.2
9312147307,General Knowledge 2019,Manohar Pandey,19,4.2 out of 5 stars,30,4.3
9350899175,Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,175,4.4,237,4.6
8183222374,Questions Are the Answers,by Allan Pease,84,4.0,93,4.2
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
8172234864,Bloodline,by Sidney Sheldon,280,4.3,280,4.5
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
9352641345,"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,178,4.5,178,4.4
8193237234,Indian Superfoods: Change the Way You Eat,by Rujuta Diwekar,269,4.1,225,4.3
9352015789,The Failure Project: The Story of Man's Greatest Fear,by Kochhar,231,4.1,287,4.6
8184005210,How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,by Aditi Singhal,242,4.4,255,4.3
8172234996,The One Minute Manager,by Kenneth Blanchard,118,4.4,118,4.4
9353022797,The Most Important Thing: Uncommon Sense for The Thoughtful Investor,by Howard Marks - Import,238,4.7,238,4.7
8172235038,"Men are from Mars, Women are from Venus",by John Gray,209,4.4,209,4.4
1408711702,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,434,4.8,434,4.8
8123923155,Design Data Handbook for Mechanical Engineering in SI and Metric Units,by K. Mahadevan - Import,316,4.3,344,4.3
8192910962,The Power of your Subconscious Mind,Joseph Murphy,65,4.5 out of 5 stars,94,4.5
9386224585,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,226,4.3,226,4.6
8172235038,"Men are from Mars, Women are from Venus",by John Gray,209,4.4,209,4.4
9380349246,Nothing Lasts Forever,by Vish Dhamija,105,3.9,105,4.3
9351772071,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,105,4.6 out of 5 stars,118,4.5
1408855666,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,374,4.7,374,4.7
8184511523,India Map,by Dreamland Publications,91,4.6,104,4.3
9381626340,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,244,4.6,244,4.6
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
8186775811,The Business School,by Robert T. Kiyosaki,108,4.5,154,4.5
9312149601,All In One Science - Class 10 (2018-19 Session),by Arihant Experts,298,4.4,274,4.5
1509867767,Tell Tale,by Jeffrey Archer,269,4.4,255,4.5
1607748509,"Understanding Exposure, Fourth Edition",by BRYAN PETERSON,633,4.5,633,4.6
1409323498,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,781,4.8,563,4.6
1451696191,The Perks of Being a Wallflower,by Stephen Chbosky,186,4.4,186,4.5
9381626340,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,244,4.6,244,4.6
8129142147,One Indian Girl,Chetan Bhagat,96,3.6 out of 5 stars,112,4.2
9312144960,KVS PGT Self Preparation Guide Economics Recruitment Examination,by Arihant Experts,228,3.3,227,4.1
1538714493,Valley of Genius,by Adam Fisher,510,5.0,429,4.6
1471133443,Hero (Secret (Rhonda Byrne)),by Rhonda Byrne,639,4.4,559,4.5
9353025982,The Forest of Enchantments,Chitra Banerjee Divakaruni,373,4.6 out of 5 stars,373,4.9
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
1784758248,Trump: The Art of the Deal,by Donald Trump,320,4.0,320,4.4
9386228564,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,363,4.6,434,4.7
9386021102,Why I Am a Hindu,by Dr. Shashi Tharoor,299,3.4,324,4.4
9351779335,The Pather Panchali Sketchbook,by Satyajit Ray,874,4.9,959,4.9
9351363783,A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,by Isha Foundation,172,4.3,172,4.5
8131252914,"Textbook of Anatomy: Head, Neck and Brain - Vol.3",by Vishram Singh,582,5.0,631,5
9352643836,Pathways to Greatness,by A.P.J. Abdul Kalam,165,4.7,156,4.6
9353025982,The Forest of Enchantments,Chitra Banerjee Divakaruni,373,4.6 out of 5 stars,373,4.9
8182744466,Copycat Marketing 101,by Burke Hedges,90,4.2,125,4.3
8172235038,"Men are from Mars, Women are from Venus",by John Gray,209,4.4,209,4.4
8192910962,The Power of your Subconscious Mind,Joseph Murphy,65,4.5 out of 5 stars,94,4.5
8179925919,The Theory of Everything,Stephen Hawking,111,4.5 out of 5 stars,190,4.2
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9386850648,Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,100,4.0,231,4.4
9386228564,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,363,4.6,434,4.7
1409323498,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,781,4.8,563,4.6
8175992980,Alice’s Adventures in Wonderland,by Lewis Carroll,89,4.0,119,4.8
8183220185,Time Management (Hindi),by Sudhir Dixit,71,4.4,99,4.2
1781257019,Ego is the Enemy,by Ryan Holiday,421,4.5,389,4.6
9351777499,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,415,4.5,473,4.6
9385887815,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,274,4.6,360,4.5
8186775811,The Business School,by Robert T. Kiyosaki,108,4.5,154,4.5
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
8192910903,1984,George Orwell,88,4.4 out of 5 stars,99,4.5
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
8183071007,Word Power Made Easy,Norman Lewis,76,4.4 out of 5 stars,111,4.4
1509808361,The Jungle Book (First Stories),by Miriam Bos,224,4.4,186,4.8
8179925919,The Theory of Everything,Stephen Hawking,111,4.5 out of 5 stars,190,4.2
8172234937,The Other Side of Midnight,by Sidney Sheldon,209,4.3,209,4.5
1473635306,Born a Crime: Stories from a South African Childhood,by Trevor Noah,388,4.8,299,4.7
9386224399,This Is Not Your Story,by Savi Sharma,100,4.5,125,4.3
8129124912,My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,180,4.7,112,4.6
9351415708,CBSE NCERT Solutions - Science for Class 9 for 2018 - 19,by Kanchan Upreti,92,4.2,92,4.5
8121906288,Mechanical Engineering: Conventional and Objective Types (2018-19 Session),by R.S. Khurmi,430,4.0,520,4.3
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
8170289262,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,107,4.2,107,4.1
9386338904,Lone Fox Dancing: My Autobiography,by Ruskin Bond,315,4.8,450,4.7
1408855658,Harry Potter and the Philosopher's Stone,by J.K. Rowling,299,4.7,234,4.6
9312140221,CTET Success Master Science Social/Studies Paper-II  for Class VI-VIII,by Arihant Experts,275,4.2,286,4.3
8126564636,The Dhandho Investor: The Low-Risk Value Method to High Returns,by Mohnish Pabrai,196,4.2,268,4.3
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9312147307,General Knowledge 2019,Manohar Pandey,19,4.2 out of 5 stars,30,4.3
1408855658,Harry Potter and the Philosopher's Stone,by J.K. Rowling,299,4.7,234,4.6
8175994215,Mrs. Dalloway,by Virginia Woolf,99,4.2,150,4.3
8174090479,Water Resources Engineering Vol. II Irrigation Engineering & Hydraulic Structures,by Santosh Kumar Garg,395,4.0,570,4.5
8172234902,Tell Me your Dreams,by Sidney Sheldon,209,4.4,209,4.5
8172344562,The Great Gatsby,F. Scott Fitzgerald,47,4.1 out of 5 stars,142,4.4
8173711461,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,194,4.6 out of 5 stars,265,4.6
8186775811,The Business School,by Robert T. Kiyosaki,108,4.5,154,4.5
8172234988,The Alchemist,Paulo Coelho,182,4.6 out of 5 stars,209,4.6
8129135744,The Dramatic Decade: The Indira Gandhi Years,by Pranab Mukherjee,199,3.7,338,4.4
8129149567,I Tagged Her in My Heart,by Anuj Tiwari - Import,100,4.7,109,4.5
9384030538,Nagargalin Ragayasam - The Secret of the Nagas (Tamil),by Amish Tripathi,181,4.5,181,4.4
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9353025982,The Forest of Enchantments,Chitra Banerjee Divakaruni,373,4.6 out of 5 stars,373,4.9
8172344562,The Great Gatsby,F. Scott Fitzgerald,47,4.1 out of 5 stars,142,4.4
8192910997,How to Win Friends and Influence People,Dale Carnegie,79,4.5 out of 5 stars,130,4.5
8192910903,1984,George Orwell,88,4.4 out of 5 stars,99,4.5
8174506136,Political Theory Textbook for Class - 11  - 11117,by NCERT,70,3.8,61,4.3
1847946240,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,286,4.4 out of 5 stars,305,4.4
9382951717,You Can Win: A step by step tool for top achievers,by Shiv Khera,232,4.6,232,4.5
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
9386867508,Emotion and Relationships,Sadhguru,138,4.7 out of 5 stars,159,4.6
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
8172235038,"Men are from Mars, Women are from Venus",by John Gray,209,4.4,209,4.4
9312147307,General Knowledge 2019,Manohar Pandey,19,4.2 out of 5 stars,30,4.3
9353025982,The Forest of Enchantments,Chitra Banerjee Divakaruni,373,4.6 out of 5 stars,373,4.9
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
9386228564,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,363,4.6,434,4.7
9380349300,Life is What You Make It,Preeti Shenoy,75,4.0 out of 5 stars,86,4.1
9387747425,NCERT Text Book with Exemplar Problems-Solutions: Mathematics Class 10,by MTG Editorial Board,186,5.0,180,4.3
1847946240,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,286,4.4 out of 5 stars,305,4.4
8129118920,Great Stories for Children,by Ruskin Bond,182,4.4,118,4.4
8175993952,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,88,4.5 out of 5 stars,125,4.4
1848126328,How to Talk So Kids Will Listen and Listen So Kids Will Talk,by Adele Faber,255,4.7,225,4.5
8172343116,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,99,4.4,166,4.5
9380349246,Nothing Lasts Forever,by Vish Dhamija,105,3.9,105,4.3
9384761141,Lucent's General Science (2018-2019) Session,Not Available,150,4.1 out of 5 stars,183,4.2
9352534026,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,427,4.1 out of 5 stars,450,4.4
9312149547,All  in One English Communicative CBSE Class 10  (based on textbook Literature...,by Gajendra Singh,235,4.5,260,4.5
1408855658,Harry Potter and the Philosopher's Stone,by J.K. Rowling,299,4.7,234,4.6
9381431922,Mirror Work: 21 Days to Heal Your Life,by Louise L. Hay,210,4.5,280,4.2
9384225762,The Chronicles of Hanuman,by Shubha Vilas - Import,333,4.7,307,4.8
8184958455,Mossad,by Michael Bar-Zohar - Import,340,4.6,280,4.5
8185986010,The Bachelor of Arts,by R. K. Narayan,90,4.4,117,4.3
9350853736,Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,76,4.7,76,4.4
9313162539,NEET Prep Guide 2019 with free Revision Points Booklet,by Arihant Expert,685,4.5,697,4.3
9387516881,Xam Idea Complete Course Social Science Class 10 for 2019 Exam,by VK Global Publications,344,4.2,324,4.4
8182744466,Copycat Marketing 101,by Burke Hedges,90,4.2,125,4.3
8172345666,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,75,4.5,169,4.5
9313163306,40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,225,4.4 out of 5 stars,247,4.5
9381626340,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,244,4.6,244,4.6
9387504921,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,320,4.7,303,4.4
1473684587,The Reckoning,by John Grisham,247,3.2,247,4
1909531618,The Book Thief (Definitions Young Adult),by Markus Zusak,379,4.5,320,4.5
1847946240,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,286,4.4 out of 5 stars,305,4.4
9387067548,Indian Art and Culture,by Nitin Singhania,412,4.5,390,4.6
8172234937,The Other Side of Midnight,by Sidney Sheldon,209,4.3,209,4.5
9351772071,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,105,4.6 out of 5 stars,118,4.5
8172234996,The One Minute Manager,by Kenneth Blanchard,118,4.4,118,4.4
1847370292,The Secret,Rhonda Byrne,415,4.5 out of 5 stars,498,4.5
9380349300,Life is What You Make It,Preeti Shenoy,75,4.0 out of 5 stars,86,4.1
8172234902,Tell Me your Dreams,by Sidney Sheldon,209,4.4,209,4.5
8179922324,Who Will Cry When You Die?,Robin Sharma,103,4.4 out of 5 stars,115,4.4
9387944891,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,199,4.3 out of 5 stars,210,4.6
9384761540,General Knowledge,Not Available,156,4.4 out of 5 stars,180,4.4
8184001053,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,118,4.5 out of 5 stars,143,4.3
8172235011,Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,by B.K.S. Iyengar,298,4.5,298,4.5
9312148222,Electronics and Communication Engineering GATE 2019,by Ankit Goel,669,4.1,556,4.4
1451696191,The Perks of Being a Wallflower,by Stephen Chbosky,186,4.4,186,4.5
9387504913,Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,247,4.6 out of 5 stars,247,4.5
